Mjerno mjesto	Datum	Vrijeme	OBIS	Brojilo	Konstanta	Vrijednost snaga	Vrijednost energija	Status
 0497330635	02.08.2025	5:45:00	LP: A-_T0	69051391	160	0,2624	0,0656	0
 0497330635	02.08.2025	6:00:00	LP: A-_T0	69051391	160	2,9184	0,7296	0
 0497330635	02.08.2025	6:15:00	LP: A-_T0	69051391	160	7,008	1,752	0
 0497330635	02.08.2025	6:30:00	LP: A-_T0	69051391	160	11,3344	2,8336	0
 0497330635	02.08.2025	6:45:00	LP: A-_T0	69051391	160	24,1216	6,0304	0
 0497330635	02.08.2025	7:00:00	LP: A-_T0	69051391	160	26,2976	6,5744	0
 0497330635	02.08.2025	7:15:00	LP: A-_T0	69051391	160	31,7952	7,9488	0
 0497330635	02.08.2025	7:30:00	LP: A-_T0	69051391	160	68,8704	17,2176	0
 0497330635	02.08.2025	7:45:00	LP: A-_T0	69051391	160	64,7616	16,1904	0
 0497330635	02.08.2025	8:00:00	LP: A-_T0	69051391	160	82,8096	20,7024	0
 0497330635	02.08.2025	8:15:00	LP: A-_T0	69051391	160	109,5616	27,3904	0
 0497330635	02.08.2025	8:30:00	LP: A-_T0	69051391	160	149,664	37,416	0
 0497330635	02.08.2025	8:45:00	LP: A-_T0	69051391	160	277,9712	69,4928	0
 0497330635	02.08.2025	9:00:00	LP: A-_T0	69051391	160	172,5824	43,1456	0
 0497330635	02.08.2025	9:15:00	LP: A-_T0	69051391	160	222,0864	55,5216	0
 0497330635	02.08.2025	9:30:00	LP: A-_T0	69051391	160	278,7712	69,6928	0
 0497330635	02.08.2025	9:45:00	LP: A-_T0	69051391	160	240,5376	60,1344	0
 0497330635	02.08.2025	10:00:00	LP: A-_T0	69051391	160	142,2784	35,5696	0
 0497330635	02.08.2025	10:15:00	LP: A-_T0	69051391	160	115,2576	28,8144	0
 0497330635	02.08.2025	10:30:00	LP: A-_T0	69051391	160	193,9584	48,4896	0
 0497330635	02.08.2025	10:45:00	LP: A-_T0	69051391	160	430,2656	107,5664	0
 0497330635	02.08.2025	11:00:00	LP: A-_T0	69051391	160	421,5936	105,3984	0
 0497330635	02.08.2025	11:15:00	LP: A-_T0	69051391	160	457,28	114,32	0
 0497330635	02.08.2025	11:30:00	LP: A-_T0	69051391	160	434,5344	108,6336	0
 0497330635	02.08.2025	11:45:00	LP: A-_T0	69051391	160	470,272	117,568	0
 0497330635	02.08.2025	12:00:00	LP: A-_T0	69051391	160	466,8352	116,7088	0
 0497330635	02.08.2025	12:15:00	LP: A-_T0	69051391	160	427,4496	106,8624	0
 0497330635	02.08.2025	12:30:00	LP: A-_T0	69051391	160	415,8656	103,9664	0
 0497330635	02.08.2025	12:45:00	LP: A-_T0	69051391	160	381,9648	95,4912	0
 0497330635	02.08.2025	13:00:00	LP: A-_T0	69051391	160	409,4784	102,3696	0
 0497330635	02.08.2025	13:15:00	LP: A-_T0	69051391	160	439,3856	109,8464	0
 0497330635	02.08.2025	13:30:00	LP: A-_T0	69051391	160	449,856	112,464	0
 0497330635	02.08.2025	13:45:00	LP: A-_T0	69051391	160	436,4224	109,1056	0
 0497330635	02.08.2025	14:00:00	LP: A-_T0	69051391	160	436,8	109,2	0
 0497330635	02.08.2025	14:15:00	LP: A-_T0	69051391	160	257,1008	64,2752	0
 0497330635	02.08.2025	14:30:00	LP: A-_T0	69051391	160	101,6768	25,4192	0
 0497330635	02.08.2025	14:45:00	LP: A-_T0	69051391	160	257,8944	64,4736	0
 0497330635	02.08.2025	15:00:00	LP: A-_T0	69051391	160	450,272	112,568	0
 0497330635	02.08.2025	15:15:00	LP: A-_T0	69051391	160	464,032	116,008	0
 0497330635	02.08.2025	15:30:00	LP: A-_T0	69051391	160	395,1296	98,7824	0
 0497330635	02.08.2025	15:45:00	LP: A-_T0	69051391	160	357,3248	89,3312	0
 0497330635	02.08.2025	16:00:00	LP: A-_T0	69051391	160	304,3904	76,0976	0
 0497330635	02.08.2025	16:15:00	LP: A-_T0	69051391	160	268,064	67,016	0
 0497330635	02.08.2025	16:30:00	LP: A-_T0	69051391	160	269,7536	67,4384	0
 0497330635	02.08.2025	16:45:00	LP: A-_T0	69051391	160	205,0048	51,2512	0
 0497330635	02.08.2025	17:00:00	LP: A-_T0	69051391	160	182,656	45,664	0
 0497330635	02.08.2025	17:15:00	LP: A-_T0	69051391	160	153,9904	38,4976	0
 0497330635	02.08.2025	17:30:00	LP: A-_T0	69051391	160	152,288	38,072	0
 0497330635	02.08.2025	17:45:00	LP: A-_T0	69051391	160	191,9808	47,9952	0
 0497330635	02.08.2025	18:00:00	LP: A-_T0	69051391	160	117,9776	29,4944	0
 0497330635	02.08.2025	18:15:00	LP: A-_T0	69051391	160	56,9664	14,2416	0
 0497330635	02.08.2025	18:30:00	LP: A-_T0	69051391	160	7,1872	1,7968	0
 0497330635	02.08.2025	18:45:00	LP: A-_T0	69051391	160	7,0144	1,7536	0
 0497330635	02.08.2025	19:00:00	LP: A-_T0	69051391	160	10,464	2,616	0
 0497330635	02.08.2025	19:15:00	LP: A-_T0	69051391	160	10,2144	2,5536	0
 0497330635	02.08.2025	19:30:00	LP: A-_T0	69051391	160	17,6576	4,4144	0
 0497330635	02.08.2025	19:45:00	LP: A-_T0	69051391	160	12,1152	3,0288	0
 0497330635	02.08.2025	20:00:00	LP: A-_T0	69051391	160	1,7984	0,4496	0
 0497330635	02.08.2025	20:15:00	LP: A-_T0	69051391	160	0,0832	0,0208	0
 0497330635	02.08.2025	20:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	20:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	21:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	21:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	21:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	21:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	22:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	22:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	22:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	22:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	23:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	23:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	23:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	02.08.2025	23:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	0:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	0:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	0:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	0:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	1:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	1:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	1:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	1:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	2:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	2:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	2:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	2:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	3:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	3:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	3:30:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	3:45:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	4:00:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	4:15:00	LP: A-_T0	69051391	160	0	0	0
 0497330635	03.08.2025	4:30:00	LP: A-_T0	69051391	160	0	0	0
